id,nombre,horasTrabajadas,sueldo
3,Nacho,80000,20000
3,Lou,120,10000
3,Pedro,2000,10000
3,Ulrike,180,25000
3,Brade,325,20000
3,Kimbell,120,50000
3,Sheelagh,220,18000
3,Gayle,120,30000
3,Kimberlee,60,33000
3,Henrieta,90,30000
3,Jeanine,325,18000
3,Aggie,75,15000
3,Brandea,180,15000
3,Cordelie,325,50000
3,Shel,120,50000
3,Bronnie,60,20000
3,Megen,180,10000
3,Iver,90,12000
3,Ernesta,60,37000
3,Cirillo,88,50000
3,Park,120,30000
3,Bellanca,88,15000
3,Bobbye,180,15000
3,Eugene,88,50000
3,Johnny,325,33000
3,Reagen,90,42000
3,Braden,180,25000
3,Karim,75,25000
3,Anthea,90,42000
3,Doro,120,33000
3,Gaye,120,37000
3,Toby,180,15000
3,Franny,325,15000
3,Katey,180,42000
3,Earle,90,10000
3,Redd,88,42000
3,Jehanna,220,50000
3,Cristie,180,10000
3,Stefa,88,42000
3,Roda,90,25000
3,Alfredo,88,10000
3,Sydney,75,10000
3,Brnaba,180,30000
3,Ame,88,50000
3,Bradney,88,25000
3,Margarete,120,50000
3,Nikoletta,120,50000
3,Lonnard,75,50000
3,Raine,180,30000
3,Noella,120,15000
3,Dagmar,88,25000
3,Carroll,220,42000
3,Marion,88,50000
3,Carline,220,12000
3,Hyacinthie,75,15000
3,Julina,120,33000
3,Corina,220,37000
3,Bernardine,75,33000
3,Homer,180,18000
3,Lianna,220,12000
3,Celene,120,50000
3,Kori,90,50000
3,Deeyn,88,20000
3,Marysa,75,20000
3,Loy,120,15000
3,Gabbey,120,37000
3,Star,90,33000
3,Dominica,120,33000
3,Blanch,75,15000
3,Cristobal,120,15000
3,Paulita,120,50000
3,Sayre,180,33000
3,Shaughn,90,15000
3,Katrine,90,25000
3,Cristi,88,42000
3,Cristie,90,25000
3,Solomon,90,10000
3,Nananne,120,33000
3,Sacha,90,25000
3,Morse,180,25000
3,Roland,180,25000
3,Jesselyn,180,30000
3,Kylila,325,12000
3,Kendre,180,25000
3,Lesya,90,15000
3,Tatiania,120,20000
3,Trenton,88,12000
3,Angie,90,20000
3,Joelle,90,37000
3,George,60,30000
3,Guenevere,90,30000
3,Antonella,1,200000
3,Margaretha,75,10000
3,Sully,60,15000
3,Lonni,220,50000
3,Nicky,180,42000
3,My,90,18000
3,Kyrstin,90,37000
3,Martino,75,15000
3,Marcellus,88,50000
3,Jacquelin,120,30000
3,Aleda,90,50000
3,Georgeta,88,10000
3,Marcille,88,10000
3,Ertha,88,10000
3,Desiri,120,25000
3,Geneva,90,33000
3,Kilian,120,42000
3,Nance,75,10000
3,Gaven,180,10000
3,Carlie,220,10000
3,Trixie,325,42000
3,Dominick,75,30000
3,Petey,120,15000
3,Tersina,75,30000
3,Johnathon,90,15000
3,Freddie,180,12000
3,Harmon,220,50000
3,Tracey,75,20000
3,Cherrita,180,33000
3,Stu,60,12000
3,Glenda,220,37000
3,Lorettalorna,220,25000
3,Patrizio,60,15000
3,Linda,88,30000
3,Pippa,325,20000
3,Pen,60,18000
3,Esteban,88,15000
3,Fonzie,325,15000
3,Cindelyn,60,12000
3,Zacharie,75,30000
3,Vina,88,42000
3,Omero,75,10000
3,Tom,75,33000
3,Dante,60,30000
3,Cordy,120,18000
3,Stephenie,220,50000
3,Dunstan,325,20000
3,Gideon,180,15000
3,Johnette,220,10000
3,Brynn,75,50000
3,Yankee,88,42000
3,Corbin,120,42000
3,Coreen,60,18000
3,Tanya,88,30000
3,Jenna,60,25000
3,Flora,90,33000
3,Dianna,90,20000
3,Armand,60,15000
3,Gustie,180,42000
3,Benton,180,12000
3,Lena,325,25000
3,Dot,180,18000
3,Meryl,220,12000
3,Babbie,120,15000
3,Byram,90,42000
3,Bertine,60,25000
3,Osbert,120,42000
3,Tanny,325,42000
3,Maryjo,60,12000
3,Clarie,60,42000
3,Kipp,90,15000
3,Leonie,325,50000
3,Ferdie,120,15000
3,Ofella,90,50000
3,Pascale,220,15000
3,Cathrin,120,30000
3,Sib,60,33000
3,Darleen,220,42000
3,Didi,60,15000
3,Lodovico,60,18000
3,Farley,325,12000
3,Devi,60,25000
3,Clair,180,37000
3,Addy,325,33000
3,Brandon,90,18000
3,Prentiss,60,30000
3,Lorant,88,50000
3,Wanids,325,30000
3,Robbi,75,10000
3,Mellicent,75,50000
3,Lynea,90,20000
3,Nial,325,15000
3,Guillaume,60,37000
3,Loutitia,88,25000
3,Ruthe,325,30000
3,Eric,60,50000
3,Marcellus,180,30000
3,Ian,75,42000
3,Sebastien,75,37000
3,Scarface,220,50000
3,Maible,75,18000
3,Waldon,90,30000
3,Bethina,75,15000
3,Farand,88,42000
3,Zolly,88,25000
3,Philipa,325,42000
3,Roderigo,88,20000
3,Otho,90,20000
3,Alasteir,120,20000
3,Eleonora,120,42000
3,Eliot,60,12000
3,Alana,220,30000
3,Odey,60,20000
3,Yorke,88,15000
3,Cissiee,180,18000
3,Jillana,180,18000
3,Mallorie,88,30000
3,Borden,88,12000
3,Maddie,60,33000
3,Weider,88,50000
3,Asia,325,37000
3,Sayres,88,10000
3,Marcile,120,30000
3,Thomasina,60,42000
3,Darwin,220,18000
3,Nicolina,90,30000
3,Nita,60,12000
3,Nikoletta,120,12000
3,Dwight,220,42000
3,Romola,88,50000
3,Kaile,325,33000
3,Mozes,220,25000
3,Aylmer,325,33000
3,Marina,120,12000
3,Enrico,325,50000
3,Adriano,220,33000
3,Trula,88,30000
3,Adel,180,30000
3,Jeniece,180,15000
3,Tabina,60,10000
3,Liana,60,33000
3,Marmaduke,220,10000
3,Alla,88,30000
3,Peter,120,12000
3,Pietro,75,18000
3,Hiram,88,20000
3,Anastasia,180,18000
3,Cathleen,180,10000
3,Leeanne,120,15000
3,Chet,325,42000
3,Billie,75,37000
3,Alexandra,75,42000
3,Broddie,90,42000
3,Brigham,180,25000
3,Cal,120,42000
3,Donal,75,18000
3,Adam,220,20000
3,Dotty,180,42000
3,Maynard,120,18000
3,Jessee,90,30000
3,Tiphani,88,42000
3,Jenna,180,30000
3,Karlotte,88,20000
3,Norene,220,25000
3,Morris,88,10000
3,Yuri,75,25000
3,Gusty,120,10000
3,Jori,180,12000
3,Sydelle,220,30000
3,Merrile,180,50000
3,Tadd,60,50000
3,Josiah,88,10000
3,Melisa,88,12000
3,Orelee,90,20000
3,Stephen,120,37000
3,Blair,180,50000
3,Arel,88,30000
3,Abbie,75,25000
3,Channa,325,50000
3,Shirl,75,20000
3,Edlin,88,20000
3,Larina,60,18000
3,Duncan,60,37000
3,Bond,180,10000
3,Dyann,75,50000
3,Charmian,60,15000
3,Dru,75,50000
3,Kiel,75,50000
3,Emory,220,15000
3,Alberik,88,50000
3,Koenraad,180,20000
3,Rafaellle,180,50000
3,Edie,325,25000
3,Osbert,325,15000
3,Sidonia,60,10000
3,Bartel,60,37000
3,Jodi,90,30000
3,Ofelia,120,30000
3,Dudley,90,42000
3,Dulcea,75,25000
3,Gordon,60,25000
3,Chalmers,220,10000
3,Christiano,60,50000
3,Russell,220,50000
3,Cleo,120,50000
3,Catriona,60,42000
3,Leigh,90,37000
3,Ddene,220,12000
3,Sayre,90,18000
3,Jody,180,33000
3,Zabrina,88,12000
3,Cos,75,30000
3,Ron,120,20000
3,Charin,180,12000
3,Coleman,220,33000
3,Jacinda,60,50000
3,Silvan,75,12000
3,Renie,90,33000
3,Davide,325,42000
3,Ernestus,60,12000
3,Brnaba,90,37000
3,Tabor,120,37000
3,Lenci,90,42000
3,Franchot,220,12000
3,Charisse,180,50000
3,Timothea,220,20000
3,Angelika,220,50000
3,Web,90,37000
3,Urban,88,10000
3,Fan,90,18000
3,Donaugh,120,12000
3,Wilona,90,25000
3,Richard,90,42000
3,Hilary,90,37000
3,Ad,90,33000
3,Maynord,220,42000
3,Lina,120,12000
3,Nerty,220,20000
3,Matias,60,33000
3,Urbano,60,50000
3,Rosemarie,220,33000
3,Booth,88,15000
3,Eden,75,18000
3,Cornie,75,15000
3,Isak,220,20000
3,Rand,88,20000
3,Dominique,220,37000
3,Lira,60,30000
3,Filbert,325,20000
3,Nona,75,30000
3,Melloney,325,33000
3,Rafaello,180,37000
3,Floria,60,12000
3,Johannes,88,18000
3,Genevra,90,10000
3,Aldric,220,50000
3,Janeta,120,10000
3,Tarra,75,12000
3,Jefferey,220,33000
3,Cassie,88,50000
3,Maiga,120,20000
3,Heddi,325,20000
3,Marieann,325,50000
3,Carita,180,42000
3,Kurtis,88,50000
3,Wilfred,180,20000
3,Isabelle,120,20000
3,Nisse,220,37000
3,Ula,75,50000
3,Tully,88,18000
3,Honor,120,30000
3,Sinclair,60,50000
3,Buddy,120,50000
3,Neilla,180,50000
3,Junie,90,20000
3,Neely,120,20000
3,Klarrisa,180,18000
3,Maryellen,120,37000
3,Clywd,220,33000
3,Deni,60,42000
3,Ingrim,120,30000
3,Franni,325,42000
3,Andy,75,37000
3,Veronica,75,42000
3,Dalis,60,42000
3,Nanni,180,25000
3,Vikky,90,15000
3,Hussein,325,25000
3,Brigg,220,10000
3,Crawford,180,12000
3,Fran,220,30000
3,Silas,90,15000
3,Alister,90,33000
3,George,325,15000
3,Nonnah,120,25000
3,Gayel,90,20000
3,Demeter,88,10000
3,Juliann,90,50000
3,Shauna,120,25000
3,Shauna,0,0
3,Ag,88,50000
3,Sherwin,88,50000
3,Vikki,88,33000
3,Barret,60,10000
3,Gaelan,90,25000
3,Livy,60,20000
3,Iorgos,90,18000
3,Charil,88,33000
3,Easter,88,30000
3,Esdras,120,37000
3,Prince,60,25000
3,Vail,120,33000
3,Rachel,325,12000
3,Bar,88,20000
3,Willa,325,30000
3,Amerigo,88,33000
3,Fredric,325,50000
3,Mikael,220,50000
3,Benson,120,20000
3,Sileas,120,20000
3,Fidelia,60,12000
3,Frayda,60,30000
3,Babita,90,30000
3,Clair,75,42000
3,Morie,180,12000
3,Skylar,325,20000
3,Dennie,75,42000
3,Sibley,60,20000
3,Addia,75,20000
3,Ed,180,18000
3,Lothaire,180,12000
3,Neila,120,15000
3,Jennifer,220,15000
3,Keelby,325,15000
3,Chuck,325,33000
3,Jordan,90,33000
3,Minnnie,180,20000
3,Carine,180,33000
3,Kelly,325,37000
3,Coleman,90,25000
3,Pincus,88,42000
3,Smitty,220,15000
3,Wade,325,12000
3,Emmit,180,12000
3,Brietta,75,42000
3,Wesley,60,10000
3,Felicdad,120,18000
3,Any,60,18000
3,Gardie,90,12000
3,Leelah,325,25000
3,Garold,60,20000
3,Regine,180,10000
3,Tam,220,20000
3,Davon,220,20000
3,Chrissy,180,18000
3,Ozzie,120,20000
3,Rina,325,20000
3,Guy,180,42000
3,Lenora,60,18000
3,Julietta,220,42000
3,Alexandr,220,18000
3,Margalit,75,15000
3,Samara,88,50000
3,Portie,220,15000
3,Korella,325,33000
3,Hilly,325,30000
3,Leeanne,75,10000
3,Arnaldo,180,10000
3,Kassi,325,37000
3,Karen,60,20000
3,Mac,325,20000
3,Anthia,60,37000
3,Marsiella,120,20000
3,Shea,120,12000
3,Liana,90,15000
3,Carley,120,12000
3,Carlye,120,37000
3,Svend,60,25000
3,Kendell,90,25000
3,Chrisy,60,15000
3,Rod,75,50000
3,Ramsay,90,20000
3,Saidee,325,50000
3,Erek,180,10000
3,Salomi,60,10000
3,Coletta,90,50000
3,Abigael,90,12000
3,Mariele,60,33000
3,Brooke,88,20000
3,Benita,90,25000
3,Marissa,90,37000
3,Lionello,60,37000
3,Tori,120,42000
3,Micheil,220,37000
3,Kym,120,20000
3,Melisse,220,10000
3,Bartholomew,120,33000
3,Rorie,220,25000
3,Hedvige,220,37000
3,Dorothea,75,15000
3,Tamarah,88,50000
3,Skipton,75,10000
3,Minny,90,33000
3,Joshia,75,33000
3,Mirilla,180,30000
3,Willey,220,15000
3,Conrado,220,50000
3,Fredia,220,30000
3,Gretchen,180,12000
3,Bibbie,60,37000
3,Warren,220,25000
3,Gabi,220,30000
3,Callie,220,50000
3,Patton,60,15000
3,Karie,75,25000
3,Martguerita,90,50000
3,Lothaire,60,20000
3,Patrice,220,37000
3,Lin,120,12000
3,Cornie,180,42000
3,Irena,180,20000
3,Markos,60,20000
3,Bird,75,18000
3,Lorna,325,42000
3,Vincents,90,25000
3,Torrey,325,42000
3,Pernell,325,50000
3,Danya,180,25000
3,Erda,325,37000
3,Ethe,325,20000
3,Coop,90,37000
3,Sheridan,120,50000
3,Charles,180,42000
3,Eddy,88,12000
3,Janey,120,42000
3,Edan,88,20000
3,Homer,325,10000
3,Eveline,325,37000
3,Eveline,0,0
3,Daveta,180,20000
3,Mort,90,42000
3,Maxi,75,37000
3,Nathalie,120,37000
3,Dennison,325,25000
3,Bunnie,120,33000
3,Frans,88,33000
3,Delmar,325,42000
3,Ced,90,20000
3,Caren,75,12000
3,Christie,88,18000
3,Saunders,325,25000
3,Deny,180,18000
3,Gene,90,15000
3,Margeaux,220,18000
3,Prisca,180,18000
3,Domini,88,18000
3,Henrie,75,50000
3,Marj,120,18000
3,Mab,120,25000
3,Josiah,120,12000
3,Mathe,180,12000
3,Gauthier,88,12000
3,Delmore,180,33000
3,Lynett,120,37000
3,Lucais,90,42000
3,Clarice,180,33000
3,Aeriela,120,37000
3,Babbie,75,15000
3,Caren,90,15000
3,Jessamine,325,18000
3,Hesther,88,15000
3,Sasha,88,15000
3,Erica,120,10000
3,Keith,120,10000
3,Briney,88,12000
3,Rutherford,90,15000
3,Lemmie,325,18000
3,Dur,220,25000
3,Modesta,120,33000
3,Carter,88,33000
3,Retha,220,15000
3,Carma,220,33000
3,Antonella,90,15000
3,Sutherlan,75,10000
3,Phillipe,88,37000
3,Florida,180,37000
3,Corrina,75,15000
3,Adrianne,220,10000
3,Scarlett,325,20000
3,Shel,120,25000
3,Delaney,88,50000
3,Tiphani,220,33000
3,Grier,88,42000
3,Annabell,180,15000
3,Basil,120,12000
3,Horatius,180,18000
3,Umeko,220,30000
3,Hayes,220,10000
3,Lynnette,220,37000
3,Hesther,180,33000
3,Trumaine,325,15000
3,Emlyn,325,50000
3,Corabelle,220,37000
3,Vic,220,25000
3,Cyndia,88,33000
3,Gray,120,42000
3,Dylan,120,30000
3,Isabelle,60,20000
3,Eachelle,180,37000
3,Howard,88,18000
3,Cornall,75,18000
3,Emmalee,90,18000
3,Brian,180,20000
3,Cahra,325,50000
3,Arvin,220,50000
3,Minda,90,15000
3,Dedie,88,33000
3,Lydia,325,15000
3,Joshia,220,25000
3,Bernita,325,15000
3,Sayre,90,33000
3,Pearla,220,20000
3,Fidole,75,30000
3,Evin,325,12000
3,Fredia,60,20000
3,Idalina,120,50000
3,Hetti,75,30000
3,Kirk,180,30000
3,Orson,180,25000
3,Lyndsay,180,42000
3,Lissy,60,37000
3,Odessa,120,50000
3,Hestia,180,18000
3,Dorotea,88,10000
3,Giraud,90,15000
3,Tonya,180,37000
3,Menard,88,37000
3,Nicola,75,12000
3,Maddy,60,25000
3,Mace,88,18000
3,Lyndy,180,37000
3,Ivonne,90,20000
3,Josepha,88,20000
3,Shandra,120,50000
3,Viva,88,25000
3,Sherwin,180,10000
3,Abigail,90,18000
3,Rosalia,60,18000
3,Merissa,60,25000
3,Marylee,60,50000
3,Wolfy,120,33000
3,Maia,220,10000
3,Elinor,60,33000
3,Neron,180,42000
3,Malachi,60,25000
3,Sarajane,60,10000
3,Arlie,88,42000
3,Felike,220,12000
3,Ethan,90,12000
3,Ruthy,180,20000
3,Hugo,60,30000
3,Thorndike,220,10000
3,Cesaro,325,30000
3,Harmonia,75,12000
3,Damara,180,12000
3,Maddy,88,25000
3,Filmer,90,50000
3,Boothe,75,12000
3,Dorrie,120,42000
3,Willdon,220,10000
3,Cindi,325,12000
3,Shermie,120,12000
3,Byrom,180,42000
3,Millie,90,15000
3,Natassia,325,42000
3,Wheeler,60,25000
3,Caritta,88,12000
3,Kennan,120,12000
3,Katina,180,20000
3,Beverlee,60,25000
3,Arlette,220,30000
3,Jacqueline,90,50000
3,Lambert,325,42000
3,Lamont,220,33000
3,Immanuel,75,33000
3,Nani,220,50000
3,Galen,60,50000
3,Nilson,88,10000
3,Tomi,60,50000
3,Flore,75,30000
3,Burgess,120,12000
3,Tally,75,42000
3,Jaquenette,60,25000
3,Sly,60,42000
3,Yul,60,30000
3,Rosalyn,325,37000
3,Devondra,75,10000
3,Xenos,88,37000
3,Terrence,75,42000
3,Krystyna,60,50000
3,Krishna,325,50000
3,Zorina,75,18000
3,Baxy,120,20000
3,Terrie,75,42000
3,Justino,220,18000
3,Erhard,75,33000
